date,week,algo,policy_type,tag,model_path,reward_mean,reward_std,tardiness_mean,tardiness_std,late_jobs_mean,late_jobs_std,jobs_scheduled_mean,jobs_scheduled_std,tardiness_p95_mean,tardiness_p95_std,weighted_tardiness_mean,weighted_tardiness_std,heuristic_name,heuristic_reward_mean,heuristic_reward_std,heuristic_tardiness_mean,heuristic_tardiness_std,heuristic_late_jobs_mean,heuristic_late_jobs_std,heuristic_jobs_scheduled_mean,heuristic_jobs_scheduled_std,heuristic_tardiness_p95_mean,heuristic_tardiness_p95_std,heuristic_weighted_tardiness_mean,heuristic_weighted_tardiness_std,n_episodes
2026-09-18,S2W9,action_space_option3,windowed15_priority_pointer_atc,window15_online_lognormal_rho075_dense_weighted_randomized_eval_online_eval,D:\University\Year3\ResearchProject\Neural-Knapsack-Research-Project\rl_training\models\action_space_option3_ppo_window15_online_lognormal_rho075_dense_weighted.zip,2413.9126000003334,72.34854386399219,309.74,117.70689189677894,28.16,6.309865291747519,825.98,22.60751202587317,,,952.74,370.5925962563203,SPT,2810.7754000003333,132.50344723379843,269.2,116.79623281596028,22.9,5.503635162326805,833.42,22.642517527872204,,,798.46,346.64588328725324,50
2026-09-18,S2W9,action_space_option2,windowed15_priority_pointer,window15_offline_dense_weighted_randomized_eval,D:\University\Year3\ResearchProject\Neural-Knapsack-Research-Project\rl_training\models\action_space_option2_ppo_window15_offline_dense_weighted.zip,292.93920000036104,16.364775933690822,55.1,68.53561118134134,15.3,13.598897014096401,98.18,1.0524257693538297,,,111.08,154.72916208653103,EDF,284.2264000003783,4.035883427454836,37.3,60.427890911399516,12.22,14.577091616642875,96.84,1.0071742649611337,,,109.36,175.72851333804653,50
2026-09-18,S2W9,action_space_option2,windowed15_priority_pointer,window15_offline_dense_weighted_randomized_eval,D:\University\Year3\ResearchProject\Neural-Knapsack-Research-Project\rl_training\models\action_space_option2_ppo_window15_offline_dense_weighted.zip,292.93920000036104,16.364775933690822,55.1,68.53561118134134,15.3,13.598897014096401,98.18,1.0524257693538297,,,111.08,154.72916208653103,SPT,234.02440000038456,6.182852791378913,1150.86,154.90590821527758,37.74,3.5654452737351052,92.08,0.2712931993250107,,,3447.56,581.7221728626132,50
2026-09-18,S2W9,action_space_option2,windowed15_priority_pointer,window15_offline_dense_weighted_randomized_eval,D:\University\Year3\ResearchProject\Neural-Knapsack-Research-Project\rl_training\models\action_space_option2_ppo_window15_offline_dense_weighted.zip,292.93920000036104,16.364775933690822,55.1,68.53561118134134,15.3,13.598897014096401,98.18,1.0524257693538297,,,111.08,154.72916208653103,LST,287.8338000003734,3.8078581328673744,23.94,56.022641851308656,8.26,13.779419436246217,97.76,0.9068627239003708,,,68.62,159.0954292240981,50
2026-09-18,S2W9,action_space_option2,windowed15_priority_pointer,window15_offline_dense_weighted_randomized_eval,D:\University\Year3\ResearchProject\Neural-Knapsack-Research-Project\rl_training\models\action_space_option2_ppo_window15_offline_dense_weighted.zip,292.93920000036104,16.364775933690822,55.1,68.53561118134134,15.3,13.598897014096401,98.18,1.0524257693538297,,,111.08,154.72916208653103,ATC,274.7520000003677,3.672838684169613,221.24,129.97931527747022,11.1,3.9,94.68,0.8109253973085319,,,298.8,184.1332126478002,50
2026-09-18,S2W9,action_space_option2,windowed15_priority_pointer,window15_offline_dense_weighted_randomized_eval,D:\University\Year3\ResearchProject\Neural-Knapsack-Research-Project\rl_training\models\action_space_option2_ppo_window15_offline_dense_weighted.zip,292.93920000036104,16.364775933690822,55.1,68.53561118134134,15.3,13.598897014096401,98.18,1.0524257693538297,,,111.08,154.72916208653103,FCFS+FirstFit,246.36900000036962,5.667620400123955,1299.52,138.672887039969,42.06,3.2705351244100713,96.86,0.9593747964169165,,,3904.1,468.6768716290575,50
2026-09-18,S2W9,action_space_option2,windowed15_priority_pointer,window15_offline_dense_weighted_randomized_eval,D:\University\Year3\ResearchProject\Neural-Knapsack-Research-Project\rl_training\models\action_space_option2_ppo_window15_offline_dense_weighted.zip,292.93920000036104,16.364775933690822,55.1,68.53561118134134,15.3,13.598897014096401,98.18,1.0524257693538297,,,111.08,154.72916208653103,LPT+WorstFit,299.1460000001,4.663352871057476,1392.46,143.3188347705911,44.92,3.626789213615812,100.0,0.0,,,4155.4,466.3352871057475,50
2026-09-18,S2W9,action_space_option3,windowed15_priority_pointer_atc,window15_online_lognormal_rho075_dense_weighted_randomized_eval_online_eval,D:\University\Year3\ResearchProject\Neural-Knapsack-Research-Project\rl_training\models\action_space_option3_ppo_window15_online_lognormal_rho075_dense_weighted.zip,2413.9126000003334,72.34854386399219,309.74,117.70689189677894,28.16,6.309865291747519,825.98,22.60751202587317,,,952.74,370.5925962563203,LST,2797.410800000334,158.65909226817098,304.32,172.91378661055342,31.12,10.406997645815052,827.7,25.15968998219175,,,918.92,551.653146098162,50
2026-09-18,S2W9,action_space_option2,windowed15_priority_pointer,window15_offline_dense_weighted_randomized_eval,D:\University\Year3\ResearchProject\Neural-Knapsack-Research-Project\rl_training\models\action_space_option2_ppo_window15_offline_dense_weighted.zip,292.93920000036104,16.364775933690822,55.1,68.53561118134134,15.3,13.598897014096401,98.18,1.0524257693538297,,,111.08,154.72916208653103,WSPT+BestFit,246.42046666700622,5.583068690642696,1221.4,170.28376317194778,40.1,3.6945906403822333,94.2,0.6928203230275509,,,2930.02,542.7462202539967,50
2026-09-18,S2W9,action_space_option2,windowed15_priority_pointer,window15_offline_dense_weighted_randomized_eval,D:\University\Year3\ResearchProject\Neural-Knapsack-Research-Project\rl_training\models\action_space_option2_ppo_window15_offline_dense_weighted.zip,292.93920000036104,16.364775933690822,55.1,68.53561118134134,15.3,13.598897014096401,98.18,1.0524257693538297,,,111.08,154.72916208653103,EDF+BestFit,284.24640000034185,3.9983620446394976,37.3,60.427890911399516,12.22,14.577091616642875,96.84,1.0071742649611337,,,109.36,175.72851333804653,50
2026-09-18,S2W9,action_space_option2,windowed15_priority_pointer,window15_offline_dense_weighted_randomized_eval,D:\University\Year3\ResearchProject\Neural-Knapsack-Research-Project\rl_training\models\action_space_option2_ppo_window15_offline_dense_weighted.zip,292.93920000036104,16.364775933690822,55.1,68.53561118134134,15.3,13.598897014096401,98.18,1.0524257693538297,,,111.08,154.72916208653103,Tetris,241.4464000001,5.562785546828138,1320.18,145.8904643902404,42.48,3.694536506789451,96.8,0.9797958971132711,,,3885.36,503.6771092674353,50
2026-09-18,S2W9,action_space_option3,windowed15_priority_pointer_atc,window15_online_lognormal_rho075_dense_weighted_randomized_eval_online_eval,D:\University\Year3\ResearchProject\Neural-Knapsack-Research-Project\rl_training\models\action_space_option3_ppo_window15_online_lognormal_rho075_dense_weighted.zip,2413.9126000003334,72.34854386399219,309.74,117.70689189677894,28.16,6.309865291747519,825.98,22.60751202587317,,,952.74,370.5925962563203,ATC,2824.778400000334,132.6894032899387,234.36,114.66625658841402,23.8,6.009991680526688,835.92,22.533388560090113,,,648.16,338.30331715784286,50
2026-09-18,S2W9,action_space_option3,windowed15_priority_pointer_atc,window15_online_lognormal_rho075_dense_weighted_randomized_eval_online_eval,D:\University\Year3\ResearchProject\Neural-Knapsack-Research-Project\rl_training\models\action_space_option3_ppo_window15_online_lognormal_rho075_dense_weighted.zip,2413.9126000003334,72.34854386399219,309.74,117.70689189677894,28.16,6.309865291747519,825.98,22.60751202587317,,,952.74,370.5925962563203,FCFS+FirstFit,2842.1250000003333,171.33072266525934,323.02,154.46028486313236,33.44,10.909005454210755,835.5,24.036014644695157,,,987.5,511.52252149832077,50
2026-09-18,S2W9,action_space_option3,windowed15_priority_pointer_atc,window15_online_lognormal_rho075_dense_weighted_randomized_eval_online_eval,D:\University\Year3\ResearchProject\Neural-Knapsack-Research-Project\rl_training\models\action_space_option3_ppo_window15_online_lognormal_rho075_dense_weighted.zip,2413.9126000003334,72.34854386399219,309.74,117.70689189677894,28.16,6.309865291747519,825.98,22.60751202587317,,,952.74,370.5925962563203,LPT+WorstFit,2476.139400000339,124.56184633201387,790.82,208.8237237480454,41.44,9.998319858856286,802.78,23.159697752777344,,,2370.06,675.1351986083973,50
2026-09-18,S2W9,action_space_option3,windowed15_priority_pointer_atc,window15_online_lognormal_rho075_dense_weighted_randomized_eval_online_eval,D:\University\Year3\ResearchProject\Neural-Knapsack-Research-Project\rl_training\models\action_space_option3_ppo_window15_online_lognormal_rho075_dense_weighted.zip,2413.9126000003334,72.34854386399219,309.74,117.70689189677894,28.16,6.309865291747519,825.98,22.60751202587317,,,952.74,370.5925962563203,WSPT+BestFit,2867.0458000003327,172.59403854235524,263.66,107.00104859299277,24.3,5.9169248769948055,836.88,22.694175464202264,,,709.42,299.05792683023805,50
